epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,416.397,0.91812,3.77743,1.28694,0.33988,0.16458,0.08446,0.06055,1.00001,3.59226,1.44565,0.0099844,0.00332813,0.0099844,0.00332813,0.0099844,0.00332813,0.0099844,0.00332813
2,763.008,0.93632,2.85284,1.23955,0.33464,0.26473,0.15608,0.11144,0.9515,2.99557,1.35957,0.0195887,0.00652957,0.0195887,0.00652957,0.0195887,0.00652957,0.0195887,0.00652957
3,1074.4,0.99129,2.94241,1.23782,0.44371,0.10623,0.06544,0.04504,1.12292,3.72734,1.50029,0.028797,0.00959901,0.028797,0.00959901,0.028797,0.00959901,0.028797,0.00959901
4,1383.43,1.01034,2.98006,1.23386,0.32027,0.20311,0.12648,0.08974,1.05057,2.96873,1.3913,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1691.14,0.9724,2.76266,1.2109,0.28701,0.2085,0.13916,0.10032,1.02357,3.22785,1.40035,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1997.67,0.93437,2.61567,1.192,0.29742,0.30181,0.20958,0.15498,0.9455,2.62204,1.29809,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2308.11,0.91449,2.48826,1.18307,0.34093,0.34867,0.2748,0.20277,0.94086,2.34476,1.28674,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2619.81,0.89436,2.38835,1.17325,0.32207,0.3752,0.28694,0.20876,0.95325,2.26996,1.26348,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2926.15,0.87924,2.2916,1.16619,0.35885,0.41398,0.35247,0.25901,0.92348,2.06888,1.26499,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3235.06,0.86361,2.22905,1.15958,0.40307,0.43521,0.39957,0.2984,0.89782,1.90021,1.25154,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3544.08,0.85357,2.16283,1.15332,0.41107,0.46862,0.43051,0.3216,0.89364,1.8107,1.2374,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3850.33,0.83795,2.09288,1.14813,0.45752,0.45491,0.45293,0.34209,0.86528,1.75003,1.22189,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,4155.58,0.8382,2.04393,1.14822,0.45439,0.51143,0.4945,0.37436,0.86251,1.64652,1.21146,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4456.74,0.82298,1.98498,1.13965,0.49327,0.49506,0.49983,0.37923,0.85414,1.63337,1.20833,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4757.7,0.81625,1.9286,1.13691,0.49324,0.53256,0.53265,0.40294,0.85966,1.55321,1.20821,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,5059.55,0.81147,1.89289,1.13433,0.53098,0.522,0.54297,0.41263,0.84993,1.51494,1.2043,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,5362.14,0.80199,1.85492,1.13096,0.52853,0.54355,0.55894,0.42494,0.84843,1.46039,1.19155,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,5663.21,0.79658,1.80907,1.12876,0.5521,0.56569,0.57736,0.44083,0.8427,1.42042,1.18853,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5965.49,0.78846,1.76277,1.12315,0.53918,0.5861,0.58899,0.45264,0.82634,1.37535,1.187,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,6268.11,0.78483,1.73104,1.1205,0.58365,0.57263,0.60787,0.46542,0.82331,1.33398,1.17903,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,6569.17,0.77921,1.69032,1.1169,0.57998,0.60475,0.62243,0.48019,0.82145,1.28312,1.17323,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,6877.28,0.77042,1.65514,1.11722,0.59068,0.59284,0.63025,0.48651,0.81907,1.27683,1.17592,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,7189.46,0.76164,1.62613,1.11218,0.6166,0.60081,0.64581,0.49864,0.81486,1.23336,1.1658,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,7501.69,0.75952,1.59338,1.10922,0.61853,0.60979,0.64868,0.50227,0.8093,1.22354,1.172,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,7810.23,0.75317,1.54829,1.10702,0.6341,0.62578,0.66669,0.51882,0.80425,1.18323,1.16474,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,8117.97,0.74005,1.51969,1.1011,0.63249,0.63067,0.67046,0.52033,0.80408,1.16794,1.16244,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,8421.09,0.74399,1.49038,1.10069,0.65331,0.62912,0.67776,0.52709,0.80108,1.15568,1.16021,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,8726.55,0.73235,1.45599,1.09859,0.66663,0.63447,0.68504,0.53369,0.79951,1.13282,1.16191,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,9030.66,0.73084,1.42137,1.09526,0.64892,0.65165,0.68875,0.53647,0.79926,1.12791,1.15835,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,9333.45,0.72114,1.39373,1.09138,0.66936,0.63684,0.69005,0.53895,0.79816,1.12259,1.16195,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,9637.12,0.71644,1.36104,1.08843,0.65961,0.65236,0.6967,0.54258,0.79783,1.10859,1.16187,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,9939.11,0.71188,1.33016,1.08715,0.66925,0.65619,0.70118,0.54684,0.79566,1.10323,1.1594,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,10242.7,0.70481,1.29653,1.08354,0.6934,0.65628,0.70548,0.55095,0.79566,1.09511,1.16231,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,10544.5,0.69561,1.26813,1.07993,0.67584,0.65908,0.70718,0.55228,0.79472,1.09245,1.15945,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,10846,0.69202,1.23645,1.07797,0.6955,0.65728,0.71079,0.55631,0.79357,1.0808,1.15737,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,11148.3,0.69077,1.21486,1.076,0.68301,0.66379,0.71384,0.55786,0.79209,1.07967,1.16015,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,11454.1,0.6769,1.17475,1.06816,0.68557,0.66339,0.71759,0.56172,0.79226,1.07406,1.16107,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,11758.7,0.66929,1.15211,1.06674,0.68609,0.67183,0.71821,0.56208,0.79009,1.07048,1.16081,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,12060.6,0.67006,1.12345,1.0661,0.69383,0.66294,0.71849,0.56236,0.79028,1.07358,1.16135,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,12362.5,0.65962,1.10126,1.06132,0.69314,0.66753,0.71898,0.56228,0.79154,1.07827,1.16432,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,12663,0.56437,0.66731,1.06644,0.69313,0.66677,0.72059,0.56473,0.79016,1.07735,1.16373,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,12959.5,0.54503,0.59705,1.05158,0.68746,0.67153,0.71933,0.56417,0.79129,1.08279,1.16492,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,13254.2,0.53316,0.55589,1.04412,0.69118,0.66916,0.71897,0.56382,0.7923,1.08752,1.16704,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,13548.7,0.51961,0.52351,1.04037,0.68751,0.66935,0.71623,0.56128,0.79481,1.09543,1.16989,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,13843.7,0.5092,0.48315,1.02904,0.68496,0.66877,0.71437,0.56012,0.79773,1.10222,1.17428,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,14139.5,0.49573,0.45661,1.02179,0.68043,0.67188,0.71377,0.56015,0.79792,1.10885,1.17552,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,14434.4,0.48298,0.4281,1.01344,0.68721,0.66442,0.71208,0.55847,0.79941,1.11462,1.17853,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,14730.4,0.47519,0.40386,1.00861,0.68318,0.66799,0.71016,0.55729,0.80105,1.12071,1.18133,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,15028.6,0.46713,0.38445,1.00378,0.68897,0.65965,0.70869,0.55534,0.80276,1.12758,1.18489,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,15324.8,0.45718,0.36559,0.99629,0.68967,0.65688,0.70754,0.55466,0.80422,1.13476,1.18764,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
