epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.243,0.822,5.26307,1.41199,0.00529,0.10004,0.00395,0.00322,0.77165,4.58408,1.54534,1.26568e-05,1.26568e-05,1.26568e-05
2,417.737,0.73386,4.95194,1.31541,0.00542,0.47988,0.01455,0.01135,0.82169,4.12954,1.5617,2.43206e-05,2.43206e-05,2.43206e-05
3,575.7,0.7902,4.52019,1.34042,0.35836,0.04851,0.04027,0.031,0.86275,3.58942,1.57411,3.49813e-05,3.49813e-05,3.49813e-05
4,732.84,0.82164,4.08162,1.34799,0.30404,0.08742,0.07202,0.05449,0.86828,3.26129,1.57482,3.34856e-05,3.34856e-05,3.34856e-05
5,889.386,0.82236,3.76876,1.34555,0.30077,0.14679,0.11805,0.08967,0.86409,3.00194,1.57124,3.19808e-05,3.19808e-05,3.19808e-05
6,1043.23,0.81284,3.55145,1.34104,0.27374,0.20097,0.15663,0.1186,0.87096,2.81026,1.5727,3.0476e-05,3.0476e-05,3.0476e-05
7,1197.02,0.81535,3.38905,1.33886,0.28649,0.23093,0.19018,0.14427,0.86551,2.68535,1.5736,2.89712e-05,2.89712e-05,2.89712e-05
8,1350.67,0.80368,3.24977,1.3305,0.30352,0.27333,0.22635,0.1715,0.86409,2.56003,1.57201,2.74664e-05,2.74664e-05,2.74664e-05
9,1504.33,0.80693,3.12944,1.33096,0.31727,0.30103,0.25453,0.19303,0.86842,2.51496,1.57317,2.59616e-05,2.59616e-05,2.59616e-05
10,1657.68,0.80109,3.03887,1.32857,0.32851,0.31836,0.28355,0.21516,0.8654,2.38162,1.56588,2.44568e-05,2.44568e-05,2.44568e-05
11,1811.24,0.79894,2.94846,1.32527,0.35785,0.3379,0.30737,0.23346,0.85517,2.31575,1.56092,2.2952e-05,2.2952e-05,2.2952e-05
12,1964.5,0.79473,2.87497,1.32242,0.38828,0.36125,0.32959,0.25017,0.84812,2.24394,1.55979,2.14472e-05,2.14472e-05,2.14472e-05
13,2118.43,0.79195,2.81012,1.31911,0.39708,0.3884,0.35078,0.26645,0.84953,2.18596,1.55307,1.99424e-05,1.99424e-05,1.99424e-05
14,2271.85,0.78507,2.75522,1.31512,0.40048,0.38228,0.35951,0.27408,0.85399,2.15268,1.55326,1.84376e-05,1.84376e-05,1.84376e-05
15,2425.15,0.78893,2.71428,1.31594,0.40744,0.39184,0.37349,0.28443,0.84529,2.10495,1.54358,1.69328e-05,1.69328e-05,1.69328e-05
16,2580.81,0.705,2.8149,1.41606,0.37681,0.40548,0.37406,0.28763,0.81659,2.0829,1.51079,1.5428e-05,1.5428e-05,1.5428e-05
17,2734.84,0.69279,2.64376,1.40074,0.40516,0.42475,0.38866,0.29791,0.81548,2.02415,1.50909,1.39232e-05,1.39232e-05,1.39232e-05
18,2887.55,0.68848,2.57173,1.39585,0.40405,0.43664,0.40035,0.30716,0.81186,2.00045,1.5057,1.24184e-05,1.24184e-05,1.24184e-05
19,3040.61,0.68083,2.51289,1.3893,0.40319,0.43503,0.40754,0.31319,0.8115,1.97808,1.50579,1.09136e-05,1.09136e-05,1.09136e-05
20,3194.77,0.6768,2.46667,1.38596,0.41537,0.43719,0.41359,0.31841,0.81029,1.95826,1.5007,9.4088e-06,9.4088e-06,9.4088e-06
21,3356.28,0.67473,2.42933,1.38318,0.42609,0.43243,0.41965,0.32305,0.80944,1.93727,1.50074,7.904e-06,7.904e-06,7.904e-06
22,3511.79,0.67198,2.3883,1.383,0.43249,0.43879,0.42502,0.32751,0.80778,1.92618,1.50017,6.3992e-06,6.3992e-06,6.3992e-06
23,3664.09,0.66707,2.36334,1.3765,0.44459,0.43082,0.42651,0.32904,0.80806,1.92891,1.49967,4.8944e-06,4.8944e-06,4.8944e-06
24,3815.83,0.66899,2.34328,1.3752,0.43407,0.44583,0.42863,0.3305,0.80724,1.91878,1.49959,3.3896e-06,3.3896e-06,3.3896e-06
25,3968.31,0.66565,2.34103,1.37423,0.44253,0.43545,0.42969,0.33112,0.80661,1.91323,1.49933,1.8848e-06,1.8848e-06,1.8848e-06
