epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.166,0.8504,4.53514,1.43609,0.31741,0.22227,0.15297,0.11506,0.90595,2.84895,1.63102,1.26469e-05,1.26469e-05,1.26469e-05
2,473.037,0.81841,2.96704,1.36869,0.38421,0.39093,0.35349,0.26865,0.85234,2.22204,1.58113,2.43112e-05,2.43112e-05,2.43112e-05
3,700.505,0.78804,2.38747,1.33759,0.4629,0.46014,0.45086,0.34077,0.86651,1.9527,1.5807,3.49722e-05,3.49722e-05,3.49722e-05
4,928.133,0.77001,2.08076,1.31956,0.49117,0.49024,0.50767,0.3847,0.83852,1.76488,1.56476,3.34856e-05,3.34856e-05,3.34856e-05
5,1154.97,0.74733,1.83362,1.30224,0.55317,0.53862,0.56692,0.42969,0.83129,1.60491,1.56524,3.19808e-05,3.19808e-05,3.19808e-05
6,1381.66,0.7256,1.67316,1.28546,0.57648,0.5802,0.60972,0.46988,0.82034,1.49015,1.54679,3.0476e-05,3.0476e-05,3.0476e-05
7,1608.29,0.71522,1.5599,1.27672,0.60275,0.5977,0.63198,0.48577,0.82475,1.39639,1.55835,2.89712e-05,2.89712e-05,2.89712e-05
8,1835.28,0.70148,1.43355,1.26589,0.61102,0.60491,0.64699,0.49718,0.81124,1.3695,1.54397,2.74664e-05,2.74664e-05,2.74664e-05
9,2061.74,0.68638,1.35962,1.25252,0.64393,0.62449,0.67557,0.52546,0.79438,1.26847,1.5146,2.59616e-05,2.59616e-05,2.59616e-05
10,2288.37,0.67301,1.27284,1.24111,0.63361,0.61807,0.66201,0.51025,0.81751,1.32773,1.56835,2.44568e-05,2.44568e-05,2.44568e-05
11,2514.97,0.66283,1.2073,1.23497,0.65263,0.65658,0.6989,0.54397,0.80284,1.19649,1.53945,2.2952e-05,2.2952e-05,2.2952e-05
12,2741.1,0.65038,1.14269,1.22283,0.66783,0.64387,0.69821,0.54101,0.81008,1.22545,1.53687,2.14472e-05,2.14472e-05,2.14472e-05
13,2966.78,0.64232,1.10399,1.21853,0.67894,0.65918,0.71343,0.55423,0.80047,1.15893,1.53119,1.99424e-05,1.99424e-05,1.99424e-05
14,3193.59,0.62646,1.03855,1.20371,0.67382,0.66933,0.7135,0.55634,0.79988,1.14459,1.54063,1.84376e-05,1.84376e-05,1.84376e-05
15,3419.69,0.61385,0.99092,1.19344,0.7012,0.67905,0.72979,0.56847,0.8032,1.10352,1.54276,1.69328e-05,1.69328e-05,1.69328e-05
16,3648.6,0.54055,0.74778,1.25189,0.67361,0.67256,0.71606,0.55701,0.80332,1.1459,1.53968,1.5428e-05,1.5428e-05,1.5428e-05
17,3874.82,0.51966,0.67,1.22934,0.68634,0.67462,0.72615,0.56234,0.81238,1.11828,1.55903,1.39232e-05,1.39232e-05,1.39232e-05
18,4100.25,0.50319,0.60803,1.21121,0.7132,0.66525,0.7304,0.56719,0.80714,1.1049,1.55521,1.24184e-05,1.24184e-05,1.24184e-05
19,4325.9,0.48533,0.56274,1.19183,0.71485,0.66378,0.73258,0.57042,0.80683,1.10844,1.56559,1.09136e-05,1.09136e-05,1.09136e-05
20,4552.18,0.466,0.50719,1.17395,0.71557,0.68157,0.74008,0.57888,0.80399,1.09601,1.56745,9.4088e-06,9.4088e-06,9.4088e-06
21,4778.14,0.44909,0.47472,1.15695,0.71107,0.67409,0.73433,0.57029,0.81342,1.10699,1.58608,7.904e-06,7.904e-06,7.904e-06
22,5003.94,0.4367,0.43997,1.14641,0.71936,0.67246,0.73709,0.57407,0.81461,1.09795,1.5987,6.3992e-06,6.3992e-06,6.3992e-06
23,5229.19,0.42466,0.41018,1.12964,0.71737,0.68279,0.74276,0.57736,0.82225,1.08877,1.61435,4.8944e-06,4.8944e-06,4.8944e-06
24,5454.56,0.41009,0.3829,1.1145,0.69518,0.70422,0.74171,0.57724,0.82035,1.08921,1.61887,3.3896e-06,3.3896e-06,3.3896e-06
25,5679.67,0.40047,0.36416,1.10565,0.71677,0.68535,0.74199,0.57713,0.82107,1.0958,1.62285,1.8848e-06,1.8848e-06,1.8848e-06
